company_name,services_provided,mbe_wbe_cert,small_local_cert,veteran_cert,sdo_certified,city_registered,address,city,state,zipcode,contact_name,contact_title,phone,fax,email,website,business_type,construction,date_established,number_employees,cob_category_codes1,cob_category_codes2,cob_category_codes3,naics_codes1,naics_codes2,naics_codes3,unspsc_code1,unspsc_code2,unspsc_code3
"Solmon Alam, LLC",Indian Cuisine; Restaurant and Catering,MWBE,SLBE,,No,Yes,"51 Hutchings Street, Dorchester, MA 02121",Dorchester,MA,02121,,Owner,(617) 929-3900,,rokeya@shantiboston.com,www.shantiboston.com,Limited Liability Company,No,2000,11 - 20,CT - Catering,"FD - Food Products, Services",,722320 - Caterers,722511 - Full-Service Restaurants ,,90100000 - Restaurants and catering,,
"Shanti Acquisition, LLC",Real Estate Development,MWBE,SLBE,,No,No,"51 Hutchings Street, Dorchester, MA 02121",Dorchester,MA,02121,,Owner,(617) 955-4900,,rokeya@shantiboston.com,www.shantidevelopments.com,,Yes,2016,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531390 - Other Activities Related to Real Estate ,236117 - New Housing For-Sale Builders ,,80130000 - Real estate services,,
HolliBalance Well-being Center LLC,Acupuncture; Chinese herbal medicine,MWBE,,,No,Yes,"101 Federal Street, Boston, MA 02110",Boston,MA,02110,Yi Song,Yi Song,(617) 344-1441,,info@hollibalance.com,https://www.yourhealthandlongevity.com,Limited Liability Company,No,2008,Less than 10,"AHS - Health Care (Providers, Services)",,,621399 - Offices of All Other Miscellaneous Health Practitioners ,,,85100000 - Comprehensive health services,,
E.R. Enterprises LLC,"Restaurant. Providing Food Products and Services
",MBE,"SBE, SLBE",,No,No,"180 Lincoln street, Boston, MASSACHUSETTS 02111",Boston,MASSACHUSETTS,02111,Francois Firmin,Francois Firmin/ Owner,(857) 250-2165,,f.eddy@savvorbostonlounge.com,savvorbostonlounge.com,Limited Liability Company,No,2012,11 - 20,"FD - Food Products, Services",,,722511 - Full-Service Restaurants ,,,90100000 - Restaurants and catering,,
"Fleet Ad Media, LLC",LED Digital Mobile Billboards and GEO-Fencing Advertising,MBE,,,No,Yes,"15 Rockingham Road, Mattapan, MA 02126",Mattapan,MA,02126,Yionel Torres,Owner,(617) 980-6506,,yionel@fleetmediaads.com,www.fleetadmediallc.com,,No,2019,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,MK - Marketing,ET - Entertainment/Entertainer,541850 - Outdoor Advertising,541890 - Other Services Related to Advertising ,,82100000 - Advertising,,
Consciously Exposed ,Diversity Inclusion Training; Business Innovation Workshop; Coaching; Public Speaking - Keynote Address; Performing Art & Creative Art workshop; Advising & Strategic Planning; Arts & Social Event Planning,MBE,SLBE,,No,Yes,"572 Columbia Road , Boston, MA 02125",Boston,MA,02125,Leonard Tshitenge,"Leonard Tshitenge, CEO/Consultant",(857) 352-4390,,leonard@consciously-exposed.com,www.consciously-exposed.com,Sole Proprietorship,No,2018,Less than 10,COG - Consultants: Human Resources,COM - Consultants: Management,CU - Cultural Organizations,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,80100000 - Management advisory services,82150000 - Professional artists and performers,
SMK Services Incorporated,"Consulting Services in the Heavy Construction Field including Estimating, Scheduling, Risk Analysis, Constructability and Feasibility Analysis, Project Management, Inspections, Change Order and Claims Analysis. ",WBE,,,Yes,No,"30 Church Street, Belmont, MA 02478",Belmont,MA,02478,Seta Kalaijian,Seta M. Kalaijian,(617) 293-3065,,setak@smkservicesinc.com,www.smkservicesinc.com,Corporation,,,,COU - Consultants: Transportation,CE - Construction Estimating,"COA - Consultants: Architecture, Engineering",541330 - Engineering Services,"237310 - Highway, Street, and Bridge Construction ",237990 - Other Heavy and Civil Engineering Construction ,80100000 - Management advisory services,,
Presidential Properties,"A Brick-and-Mortar Real Estate Brokerage Located in the Heart of Boston’s Historic Beacon Hill Neighborhood that Offers the Most Time Efficient Service and Knowledgeable Representation for Anyone Seeking to Successfully and Confidently Sell, Buy, or Rent Property; Traditional Face-To-Face Consulting is Welcome at our Street-Side Office and In-Person Property Tours are Available Daily; A Virtual Real Estate Experience is also Offered including Virtual Showings with Live Video Tours, Signing and Submitting Paperwork Remotely, and the Ability to Receive and Send Payments Electronically; 14 Years of Experience, Ethics, and Execution Securing New Housing for More than 3,500 Customers. ",WBE,SLBE,,No,Yes,"17 Myrtle Street, Boston, MA 02114",Boston,MA,02114,Kristie Aussubel,"Kristie Aussubel, Owner and Broker",(857) 362-7306,,weknowboston@presidentialproperties.us,www.YourBostonApartments.com,Sole Proprietorship,No,2007,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",RS - Residential Services,COR - Consultants: Relocation,531210 - Offices of Real Estate Agents and Brokers,531190 - Lessors of Other Real Estate Property ,,80130000 - Real estate services,,
"Boston Carpentry, LLC",Commercial and Residential Wood-Frame Construction,MWBE,,,No,No,"1 Westinghouse Plaza, Hyde Park, MA 02136",Hyde Park,MA,02136,Mildred Mejia,Co-Owner,(617) 631-0466,,mario@carpentrybos.com,www.carpentrybos.com,Limited Liability Company,Yes,2015,11 - 20,CA - Carpentry,CN - Construction Management: Small Commercial Projects,CE - Construction Estimating,238350 - Finish Carpentry Contractors,236118 - Residential Remodelers ,236220 - Commercial and Institutional Building Construction ,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,72150000 - Specialized trade construction and maintenance services
Evy Tea LLC,Beverage Manufacturing and Distribution,MWBE,SLBE,,No,No,"6 Liberty Square #2159 Boston, MA 02109, Boston, MASSACHUSETTS 02109",Boston,MASSACHUSETTS,02109,Evy Chen,Evy Chen,(617) 429-5229,,evy@evytea.com,evytea.com,Partnership,No,2015,11 - 20,MU - Manufacturers,"FD - Food Products, Services",,311920 - Coffee and Tea Manufacturing ,,,73130000 - Food and beverage industries,,
"McCarthy, Kenney & Reidy, PC dba Martin, Magnuson, McCarthy & Kenney","Legal Services: Our Practice Areas Include:  Product Liability, Premises Liability, Toxic Tort, Medical Malpractice, Professional Licensing and Regulatory Compliance, Motor Vehicle Accidents, Medicare Secondary Compliance, Medicare and Medicaid Reporting, Construction Law, Employment Law, and Liquor Liability",,"SBE, SLBE",,No,No,"101 Merrimac Street, Boston , MA 02114",Boston ,MA,02114,Jennifer Creedon,"Jennifer Creedon, Partner",(617) 227-3240,,jcreedon@mmmk.com,mmmk.com,Corporation,No,1957,21 - 40,AT - Attorneys,,,541110 - Offices of Lawyers,,,80120000 - Legal services,,
"NS Contracting Company, Inc.",Rough and Finish Carpentry; Drywall; Painting; Landscaping and Snow Removal; and Asbestos,MWBE,,,Yes,Yes,"244 Blue Hill Avenue, Roxbury, MA 02119",Roxbury,MA,02119,Becky Hobbs,Owner,(617) 590-3700,,ns@nscontractinginc.com,,,Yes,2012,Less than 10,CA - Carpentry,"PL - Plastering, Drywall Contractors",LA - Landscaping Contractors,238350 - Finish Carpentry Contractors,238310 - Drywall and Insulation Contractors ,561730 - Landscaping Services,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,72150000 - Specialized trade construction and maintenance services
"Parent Realty Advisors, LLC",Real Estate Brokerage and Sales,MBE,,,Yes,No,"15 Greenock Street, 1, Boston, MA 02124",Boston,MA,02124,Ralph Parent,Owner,(617) 304-5727,,rparent@parentrealtyadvisors.com,,,No,2019,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531210 - Offices of Real Estate Agents and Brokers,,,80130000 - Real estate services,,
"Parent and Diamond, LLC",Real Estate Development,MBE,,,Yes,No,"15 Greenock Street, 1, Boston, MA 02124",Boston,MA,02124,Ralph Parent,Owner,(617) 304-5727,,ralph.parent@gmail.com,,,No,2020,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531390 - Other Activities Related to Real Estate ,,,80130000 - Real estate services,,
RCL Mechanical LLC,"Plumbing, HVAC",MBE,,,No,No,"147 South Street West, Raynham, MA, USA, Raynham, MA  02767",Raynham,MA ,02767,Richard Leon,Richard Leon; President,(774) 260-2626,,office@rclmechanical.com,,Limited Liability Company,Yes,2016,11 - 20,PB - Plumbing,"ME - Mechanical Contractors (HVAC, Plumbing, Insulation, Service, see also GC, PB)",,"238220 - Plumbing, Heating, and Air-Conditioning Contractors ",,,30180000 - Plumbing fixtures,40100000 - Heating and ventilation and air circulation,
Honor Rebel Media Inc.,Media Production & Streaming Services,MBE,"SBE, SLBE",,No,Yes,"29B Dennison St, Roxbury, MA 02119",Roxbury,MA,02119,Rod Sinclair,Rodcliffe Bruce Sinclair,(617) 590-6521,,rodbsin@gmail.com,,Corporation,No,2012,Less than 10,TV - Television/Production,ET - Entertainment/Entertainer,,334220 - Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,515120 - Television Broadcasting,541840 - Media Representatives,45130000 - Photographic and recording media,83110000 - Telecommunications media services,43220000 - Data Voice or Multimedia Network Equipment or Platforms and Accessories
"BUSINESS LAZO, LLC","Provides Sale Representation, Consulting and Vendor Management Services for Non-Competing Brands of Ergonomic Office Furniture, Wireless Mobile Accessories,  Multi-Layer Air Protection in Durable, High-Quality Portable UV Air Purifiers.",MWBE,SBE,,Yes,No,"142 Hubbardston Road, Princeton, MA 01541",Princeton,MA,01541,Jo-Ann Hernandez,Jo-Ann T. Hernandez,(973) 632-8823,(610) 507-6460,jo@businesslazo.com,www.businesslazo.com,Limited Liability Company,No,2020,Less than 10,BU - Business Management Consultants,"OF - Office Furniture, Services and Equipment",,"541614 - Process, Physical Distribution, and Logistics Consulting Services ",424120 - Stationery and Office Supplies Merchant Wholesalers ,541618 - Other Management Consulting Services ,44120000 - Office supplies,43190000 - Communications Devices and Accessories,44110000 - Office and desk accessories
Nicole Loeb Photo & Video,"Commercial Photography, Videography, and Drone Services for corporate, events, portraits, headshots, and marketing campaigns",MWBE,"SBE, SLBE",,No,No,"177 Tremont Street, Boston, MA 02111",Boston,MA,02111,Nicole Loeb,"Photographer, Videographer, Drone Pilot",(617) 506-9059,,nicole@nicoleloeb.com,www.nicoleloeb.com,Limited Liability Company,No,2010,Less than 10,PG - Photography,MK - Marketing,,541922 - Commercial Photography ,512110 - Motion Picture and Video Production ,"541921 - Photography Studios, Portrait ",82130000 - Photographic services,45120000 - Photographic or filming or video equipment,45130000 - Photographic and recording media
"Masi Research Consultants, Inc.","We design and evaluate, for quality assurance purposes, employee assistance programs (EAP). This is done through telephone audits, customer satisfaction surveys, clinical peer reviews, and cost/benefit analyses of EAP programs. Masi staff are highly qualified professionals, including emeriti professors.",WBE,,,Yes,Yes,"PO Box 990268, Boston, MA 02199-9948",Boston,MA,02199-9948,Dale Masi,"Dale Masi, President",(617) 536-1930,(617) 536-1933,dalemasi@eapmasi.com,www.eapmasi.com,Corporation,No,,,COG - Consultants: Human Resources,,,541612 - Human Resources Consulting Services ,,,80110000 - Human resources services,,
Andaz Construction Corporation,"General Contracting (Start to Finish: Residential/Commercial); Project Management; Identification & Assembly of Prerequisite Requirements; Project Cost Analysis; Construction Management; Permitting (Zoning Board, Board of Health, Board of Appeals); New Construction, Additions, Renovations; Insurance Claim Build Outs (Fire & Water)
",MBE,,,No,Yes,"501 Boylston Street, Boston, MA 02116",Boston,MA,02116,Mark Williams,"Mark Williams, President",(617) 755-9063,,andazconstructioncorp@gmail.com,www.andazconstructioncorp.com,Corporation,Yes,2021,Less than 10,GC - General Contractors,CN - Construction Management: Small Commercial Projects,CA - Carpentry,236115 - New Single-Family Housing Construction (except For-Sale Builders) ,236116 - New Multifamily Housing Construction (except For-Sale Builders) ,,72110000 - Residential building construction services,72150000 - Specialized trade construction and maintenance services,
"Rethinking Power Management, LLC",Energy Engineering and Sustainability Consulting,WBE,,,Yes,No,"13 Waltham Street, B109, Boston, MA 02118",Boston,MA,02118,Ilene Mason,Owner,(508) 259-5030,,imason@rpmpowerllc.com,,,No,2009,Less than 10,CON - Consultants: Environmental,,,541620 - Environmental Consulting Services,,,77100000 - Environmental management,,
"One Quality Services Painting and Cleaning, Inc.",Exterior and Interior Painting; Professional Cleaning; Carpentry,,SBE,,No,No,"57 Kimball Road, Chelsea, MA 02150",Chelsea,MA,02150,Wesley Silva,President,(617) 935-4319,,onequality@hotmail.com,www.onequalityservices.com,,Yes,2009,Less than 10,PA - Painting and Papering Contractors,CA - Carpentry,"JA - Janitorial Services/Supplies (see also MA, RS)",238320 - Painting and Wall Covering Contractors,238350 - Finish Carpentry Contractors,561720 - Janitorial Services ,31210000 - Paints and primers and finishes,76110000 - Cleaning and janitorial services,
"A Comer Electrical Services, Inc.",Electrical Services,WBE,SBE,,Yes,Yes,"859 S River St , Marshfield, MA 02050",Marshfield,MA,02050,Alecia Comer,Alecia Comer CEO ,(781) 834-7316,,acomer@acomerelectrical.com,acomerelectrical.com,Corporation,Yes,10/28/19,Less than 10,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,72150000 - Specialized trade construction and maintenance services,,
"Wynns Wynns, Inc.",Legal and Regulations Consulting Services; Project Management; Program Management; Management Consulting; Debris/Disaster Clean-Up,WBE,,,No,No,"412 N. Glengarry Road, Bloomfield Hills, MI 48301",Bloomfield Hills,MI,48301,Lauren Wynns,President,(202) 725-5893,,lauren@winningforces.com,winningforces.com,,No,2017,Less than 10,COM - Consultants: Management,"EN - Environmental Consultants ( Planning, Soil Boring, Hazardous Waste Treatment, etc.)",CON - Consultants: Environmental,541618 - Other Management Consulting Services ,561730 - Landscaping Services,624230 - Emergency and Other Relief Services ,77100000 - Environmental management,30120000 - Roads and landscape,
"Bar and Kitchen Hospitality, Inc. dba Darryl's Corner Bar and Kitchen","Dine-In, Take-Out Food and Beverage Service; Catering; Events; Live (Music) Entertainment",MWBE,SLBE,,No,Yes,"604 Columbus Avenue, Boston, MA 02118",Boston,MA,02118,Nia Grace,President,(617) 536-1100,,info@dcbkboston.com,www.dcbkboston.com,,No,2018,11 - 20,"FD - Food Products, Services",,,722511 - Full-Service Restaurants ,,,90100000 - Restaurants and catering,,
"Star Building Services, Inc.",Commercial Janitorial Cleaning Services,MWBE,,,Yes,Yes,"515 Columbia Road, Dorchester, MA 02125",Dorchester,MA,02125,Carmen Familia,President,(617) 212-6723,,hfamilia@sbsboston.com,,,No,2008,11 - 20,"JA - Janitorial Services/Supplies (see also MA, RS)",,,561720 - Janitorial Services ,,,76110000 - Cleaning and janitorial services,,
SQC Cleaning Services,"Commercial, Residential Cleaning, Carpet/Fabric Cleaning, Facilities Cleaning",MWBE,SLBE,,No,No,"70 Astoria Street, Boston, MA 02126",Boston,MA,02126,Dominique Chester,Owner,(617) 513-7736,,chesterdominique@gmail.com,,,No,2010,Less than 10,"JA - Janitorial Services/Supplies (see also MA, RS)","MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",RS - Residential Services,561720 - Janitorial Services ,561740 - Carpet and Upholstery Cleaning Services,,76110000 - Cleaning and janitorial services,,
Juice'd Cafe,"Juices, Smoothies, Salads, Wraps, and Burritos",MBE,,SDVOB,No,No,"1475 Plymouth Ave, FALL RIVER, MA 02721-1738",FALL RIVER,MA,02721-1738,Luis Gonsalves,Luis Gonsalves ,(508) 567-1086,,info@thejuicedcafe.com,www.thejuicedcafe.com,Corporation,No,2017,Less than 10,"FD - Food Products, Services",,,722513 - Limited-Service Restaurants ,,,90100000 - Restaurants and catering,,
"Younger Brothers Construction, LLC",Procurement of Construction Materials,MBE,,,Yes,No,"188 Action Street, Watertown, MA 02472",Watertown,MA,02472,Clyde Younger,President,(617) 923-0592,,clyde3721@comcast.net,,,Yes,2011,Less than 10,SU - Suppliers,,,423390 - Other Construction Material Merchant Wholesalers ,,,30190000 - Construction and maintenance support equipment,,
"Voltrek, LLC","Solutions for Commercial Electric Vehicle Charging Applications; Turn-Key Site Design and Installation of EV Chargers; Service & Maintenance of EV Chargers; Partner/Reseller of EVSE / EVSP Hardware and Software for Major Suppliers such as ChargePoint, ABB, EVCOnnect, AMPUP, PowerCharger, and Others",WBE,,,Yes,Yes,"280 Merrimack St Suite 554, Lawrence, MA 01843",Lawrence,MA,01843,Kathleen Connors,Kathleen Connors,(978) 378-0910,,kathleen@voltrek.com,www.voltrek.com,Limited Liability Company,,,,"EO - Electronic Parts (Mgfs., Distrib., Assembly Service)",,,811219 - Other Electronic and Precision Equipment Repair and Maintenance ,,,39120000 - Electrical equipment and components and supplies,25170000 - Transportation components and systems,25190000 - Transportation services equipment
Brooksco,Material Sourcing and Distribution; Apparel and Branding; Warehousing and Logistics,MWBE,,,Yes,No,"56 Leonard Street, Foxborough, MA 02035",Foxborough,MA,02035,Connie Brooks,"Connie Brooks, President & CEO",(508) 202-4384,,connie@mybrooksco.com,,Limited Liability Company,,,,AL - Apparel,SA - Safety Products,,424990 - Other Miscellaneous Nondurable Goods Merchant Wholesalers ,,,53100000 - Clothing,,
Elegant Stitches,"Custom Embroidered Uniforms, Screen Printed Garments and Promotional Products",MBE,,,Yes,No,"237 First Street, Pittsfield, MA 01201",Pittsfield,MA,01201,Alfred Enchill,President,(413) 447-9452,,elegantstitchesinc@verizon.net,,,No,1997,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,AL - Apparel,,541430 - Graphic Design Services,323113 - Commercial Screen Printing ,,82140000 - Graphic design,,
Millenium Printing Corporation,Full Color and Spot Color Offset and Digital Printing; Labels; Promotional Products; Apparel (Embroidered and Silkscreened) Graphic Design; Outdoor and Indoor Signage; Online Ordering Capabilities,WBE,,,Yes,Yes,"370 Libbey Parkway, Weymouth, MA 02189",Weymouth,MA,02189,Denise Connors,President,(617) 719-5225,,kmccoy@mpcprinting.com,,,No,1997,11 - 20,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,PT - Printers,AL - Apparel,541430 - Graphic Design Services,323113 - Commercial Screen Printing ,,82140000 - Graphic design,82121500 - Printing Services,55120000 - Signage and accessories
"Narman Construction, Inc.","General Contractor Providing Residential and Commercial Construction Project Management, New Building Construction and Home Improvement Contracting, and Building Maintenance Services, Including Carpentry, Drywall and Tiling",MWBE,,,Yes,Yes,"101 Federal Street, Suite 1900, Boston, MA 02110",Boston,MA,02110,Jeanette Lynda Blake,President,(888) 627-6261,,contact@narmanconstruction.com,,Corporation,Yes,2005,Less than 10,GC - General Contractors,CN - Construction Management: Small Commercial Projects,"MA - Maintenance (Industrial, Commericial, Residential, see also JA, RS)",236220 - Commercial and Institutional Building Construction ,236118 - Residential Remodelers ,,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,
Adnankhushafa,Transportation ,,SLBE,,No,No,"1 South Point Drive, Boston, MA 02125",Boston,MA,02125,Adnan Khushafa ,Adnan Khushafa ,(929) 238-4011,,adnankhushafa@gmail.com,,Sole Proprietorship,No,2019,Less than 10,"TR - Travel, Transportation (Travel Agencies, Planning, Limo Services)",,,423860 - Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers ,,,78110000 - Passenger transport,,
Flock Construction Inc,"A Commercial General Contractor, Specializing in Renovations. ",WBE,,,Yes,No,"36A Wheeler Street, Pepperell, MA 01463",Pepperell,MA,01463,Ann Polaneczky,Ann Marie Polaneczky,(603) 930-9980,,amp@flockconstruction.com,www.flockconstruction.com,Corporation,Yes,2020,Less than 10,CN - Construction Management: Small Commercial Projects,GC - General Contractors,,236220 - Commercial and Institutional Building Construction ,236210 - Industrial Building Construction ,,72120000 - Nonresidential building construction services,,
"BWT, LLC","Transportation and Logistics; Shipping, Freight",MBE,,,Yes,No,"291 Main Street, Unit 6, Northborough, MA 01532",Northborough,MA,01532,William Muiruri,Director of Operations,(617) 201-0559,,william@bwtllc.net,,,No,2012,11 - 20,TK - Trucking (Waste Disposal Commodities Transport),,,"484121 - General Freight Trucking, Long-Distance, Truckload ",,,78140000 - Transport services,,
Boston While Black,"A Membership Network for Black Professionals, Entrepreneurs, and Students Who Are Seeking Connection and Community, Via Digital Platform and In-Person and Virtual Programming 
",MWBE,"SBE, SLBE",,No,No,"398 Columbus Avenue, Boston, MA 02116",Boston,MA,02116,Sheena Collier,"Sheena Collier, CEO",(617) 659-2883,,admin@bostonwhileblack.com,bostonwhileblack.com,Limited Liability Company,No,2020,Less than 10,CU - Cultural Organizations,COR - Consultants: Relocation,COG - Consultants: Human Resources,813410 - Civic and Social Organizations ,813319 - Other Social Advocacy Organizations ,813920 - Professional Organizations ,94130000 - Civic organizations and associations and movements,94120000 - Clubs,93140000 - Community and social services
Mr Tamole LLC,Wholesale - Tamales/Salsas/Mole Paste; Catering; Food Cart/Events,MBE,,,No,No,"196 Quincy Street, Boston, MA 02121",Boston,MA,02121,Andres  Medina Carreto,Andres Medina Carreto / Margarita Maria Carreto,(617) 602-8277,,mrtamole@gmail.com,mrtamole.com,Limited Liability Company,Yes,2017,Less than 10,CT - Catering,"FD - Food Products, Services",,424420 - Packaged Frozen Food Merchant Wholesalers ,424490 - Other Grocery and Related Products Merchant Wholesalers ,,73130000 - Food and beverage industries,50190000 - Prepared and preserved foods,
"Boston Musical Instruments, LLC",Sales and Service of Musical Instruments and Their Accessories,,"SBE, SLBE",,No,Yes,"234 Huntington Avenue, Boston, MA 02115",Boston,MA,02115,Steven Johnson,"Steven Johnson, President",(617) 530-1993,,steve@virtuosityboston.com,www.virtuosityboston.com,Limited Liability Company,No,2015,Less than 10,SU - Suppliers,,,451140 - Musical Instrument and Supplies Stores ,,,60130000 - Musical Instruments and parts and accessories,,
Surfside Capital Advisors,Management Consulting; Technical Assistance,MBE,,,Yes,No,"6 Liberty Square, Suite 2511, Boston, MA 02108",Boston,MA,02108,Juan Morales,President,(857) 998-7756,,jcmorales@surfsidecapadvisors.com,,,Yes,2017,11 - 20,COM - Consultants: Management,,,541611 - Administrative Management and General Management Consulting Services ,541618 - Other Management Consulting Services ,,80100000 - Management advisory services,,
"CHESS Engineering, LLC",Land Surveying and Civil Engineering Design,MBE,,,Yes,No,"1431 Pawtucket Boulevard, Unit 20, Lowell, MA 01854",Lowell,MA,01854,Paul Campbell,Principal,(617) 982-3250,,pcampbell@chessengineeringne.com,,,No,2013,Less than 10,AE - Architects/Engineers,,,541330 - Engineering Services,,,81100000 - Professional engineering services,,
Bartholomew Lighting,Architectural Lighting Design,MBE,,,Yes,No,"14 Cottage Street, 1st Floor, Cambridge, MA 02139",Cambridge,MA,02139,Edward Bartholomew,Principal,(206) 913-7187,,edward@bartholomew.lighting,,,No,2020,Less than 10,AE - Architects/Engineers,,,541490 - Other Specialized Design Services,,,39110000 - Lighting Fixtures and Accessories,,
"Erise Builders, Inc.","General Contracting, including In-House Rough Carpentry; In-house Finish Carpentry; In-House Window and Door Installation; In-House Cabinet Installation ",MBE,,,No,Yes,"58 McDonald Street, Dedham, Massachusetts 02026",Dedham,Massachusetts,02026,Edison  Ribeiro,Edison Ribeiro - President and Owner,(617) 701-6281,,edison@erisebuilders.com,www.erisebuilders.com,Corporation,Yes,2018,Less than 10,GC - General Contractors,,,236118 - Residential Remodelers ,236115 - New Single-Family Housing Construction (except For-Sale Builders) ,236220 - Commercial and Institutional Building Construction ,72110000 - Residential building construction services,72120000 - Nonresidential building construction services,
"LLM Design, Inc.",Branding; Graphic Design; Interior Design; Architectural Design; Signage; Wayfinding; Film; Environmental Graphics; Placemaking; Marketing Strategy,MWBE,SLBE,,No,No,"75 Broad Street, Boston, MA 02109",Boston,MA,02109,Leila Mitchell,President,(617) 451-0565,,getcreative@llmdesign.com,,,No,2013,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541430 - Graphic Design Services,541410 - Interior Design Services,541613 - Marketing Consulting Services ,82140000 - Graphic design,,
"Groundations LLC, aneufit","Private Training; Semi Private Training; Group Training; Physical Assessments;  Balance Specific Training
",MWBE,,,Yes,Yes,"364 Boylston Street, Boston, MA 02116",Boston,MA,02116,Jennifer Brine,Jennifer Brine - CEO,(617) 681-4776,,info@aneufit.com,www.aneufit.com,Limited Liability Company,No,2020,Less than 10,ES - Elderly Services,,,621999 - All Other Miscellaneous Ambulatory Health Care Services ,812990 - All Other Personal Services ,713940 - Fitness and Recreational Sports Centers ,91100000 - Personal appearance,93140000 - Community and social services,
A-Butter,Selling Uniquely Flavored Almont Butter to Local Communities,MBE,,,No,Yes,"633 Centre Street, Jamaica Plain, MA 02130",Jamaica Plain,MA,02130,Aaron Spencer,CEO,(718) 781-9799,,aaronabutter@gmail.com,www.abutterbyaaron.com,,No,2019,Less than 10,"FD - Food Products, Services",,,311919 - Other Snack Food Manufacturing ,,,50190000 - Prepared and preserved foods,,
"Emmaty, Inc",General Contracting; Roofing Contractor; Siding Contractor; Masonry Contractor; Electrical Contractor ,MWBE,SBE,,Yes,No,"31 Granite Street, Ste 6, Milford, MA 01757",Milford,MA,01757,Madeline Cabrera,"Madeline Cabrera, Founder & CEO",(508) 369-0822,,info@emmaty.com,https://emmaty.com/,Corporation,Yes,2004,Less than 10,"RF - Roofing, Sheet Metal Contractors",EL - Electrical Contractors,EG - Civil/Structural Engineering,238210 - Electrical Contractors and Other Wiring Installation Contractors,236220 - Commercial and Institutional Building Construction ,237990 - Other Heavy and Civil Engineering Construction ,30220000 - Permanent structures,30120000 - Roads and landscape,30150000 - Exterior finishing materials
"Boston Electrical Solutions, Inc.",Electrical Services,WBE,,,Yes,No,"209 Eliot Street, Milton, MA 02186",Milton,MA,02186,,President,(617) 322-0095,(617) 848-0159,bostonelectricalsolutions@gmail.com,www.bostonelectricalsolutions.com,,Yes,2015,Less than 10,EL - Electrical Contractors,,,238210 - Electrical Contractors and Other Wiring Installation Contractors,,,39120000 - Electrical equipment and components and supplies,,
LRC/LydRiv Communications,Public Relations,MWBE,,,Yes,No,"11 Hallet Street, Dorchester, MA 02122",Dorchester,MA,02122,Lydia Rivera,Principal,(617) 851-1095,,lydia@lydrivcommunications.com,,,No,2020,Less than 10,AD - Advertising/Audovisual Graphic Design/Marketing Public Relations,,,541820 - Public Relations Agencies,,,80140000 - Marketing and distribution,,
"Crown Realty Solutions, Inc.",Real Estate Projects and Property Management Services,WBE,,,Yes,No,"700 Bulfinch Drive, #313, Andover, MA 01810",Andover,MA,01810,Ifigeneia Derekli,President,(203) 503-7121,,crownrealtysolutions@gmail.com,,,No,2015,Less than 10,"RE - Real Estate (Development, Management, Sales and Appraisals)",,,531311 - Residential Property Managers ,531312 - Nonresidential Property Managers ,531390 - Other Activities Related to Real Estate ,80130000 - Real estate services,,
indulge india,"Food Truck/Restaurant:  Our Products Include Chicken Tikka Masala, Coconut Lamb Curry, and Paneer Veg Korma",MWBE,SBE,,No,Yes,"36 Park Street, Andover, MA 01810",Andover,MA,01810,rani krupanalini devi degala,"Rani krupanalini devi Degala, Owner",(410) 938-1998,,indulgeindiafoodtruck@gmail.com,indulgeindiaft.com,Limited Liability Company,No,2016 March,Less than 10,"FD - Food Products, Services",,,722330 - Mobile Food Services,,,90100000 - Restaurants and catering,,
BOSTON INTERNATIONAL MEDIA CONSULTING INC.,"Radio, Newspaper, Media Consulting, Advertising.",MBE,,,No,No,"10 Marianne Avenue, Braintree, MA, USA, Braintree, MASSACHUSETTS 02184",Braintree,MASSACHUSETTS,02184,Gary Yu,Gary Guoliang Yu，President,(617) 849-1918,,info@helloboston.info,,Corporation,No,2016,Less than 10,COT - Consultants: Telecommunications,,,541613 - Marketing Consulting Services ,,,83110000 - Telecommunications media services,,
"NG Environmental Contractors, Inc.",Asbestos Abatement; Lead Paint Abatement; Selective Demolition,MBE,,,Yes,No,"9 Osgood Street, Lawrence, MA 01843",Lawrence,MA,01843,Nolberto Galicia,President,(978) 831-3232,,ngalicia@ngenvironmental.com,,,Yes,2019,11 - 20,AB - Asbestos Control,"SI - Sitework (Excavation, Demolition, Utilities, Sewage, see also GC)",,562910 - Remediation Services ,238910 - Site Preparation Contractors,,77100000 - Environmental management,,
